420,24.6,64,17
421,25.4,59,15
422,25.8,57,17
423,25.4,61,11
424,24,62,20
425,21.3,69,21
426,18.7,77,18
427,16.7,83,16
428,15.3,87,20
429,14.6,91,10
430,14.5,91,13
431,14.5,91,12
432,15.1,89,15
433,15,89,14
434,14.8,90,17
435,14.7,91,16
436,13.8,93,11
437,13,95,7
438,12.7,95,7
439,13.6,93,5
440,14.4,86,13
441,16.1,78,11
442,16.1,78,10
443,17.3,74,4
444,18.7,65,4
445,19.8,62,5
446,20.2,59,7
447,20.9,53,16
448,20.4,52,10
449,19.6,59,10
450,17.9,68,10
451,16.3,73,5
452,15.9,75,3
453,13.9,84,2
454,13.9,84,4
455,12.5,92,6
456,14.1,92,5
457,14.4,89,9
458,13.4,87,5
459,12.8,88,4
460,12.9,91,7
461,12.6,90,4
462,11.8,93,3
463,13.3,86,8
464,15,84,10
465,16.2,83,15
466,16.9,84,17
467,17.9,77,17
468,17.8,76,19
469,17.9,74,21
470,17.5,74,17
471,17.1,76,14
472,17.1,73,18
473,17.1,72,19
474,17.3,76,11
475,16.7,76,16
476,16.1,75,14
477,15.8,79,19
478,16,85,12
479,17.8,86,12
480,18,88,26
481,18.2,91,17
482,18.4,94,17
483,18.3,96,6
484,18.3,97,4
485,18.9,96,7
486,19.1,95,5
487,20.2,94,5
488,24.3,83,13
489,26.8,74,18
490,28.5,66,20
491,30.7,56,19
492,31.4,49,40
493,31.4,48,32
494,30.7,48,30
495,30,55,37
496,28.7,56,33
497,23.5,81,24
498,24.2,58,34
499,23.4,56,30
500,20.2,55,27
501,18.8,59,22
502,16.5,66,25
503,14.9,61,23
504,13.4,62,29
505,12.7,67,23
506,11.8,76,25
507,11.1,80,20
508,10.3,81,7
509,9.8,76,19
510,8.7,75,12
511,9,73,11
512,10.1,71,20
513,11.1,69,16
514,12.2,61,22
515,13.4,58,18
516,13.8,54,0
517,15,49,4
518,16.2,48,2
519,16.7,48,12
520,16.5,48,9
521,14.6,59,15
522,13,66,16
523,11.4,75,10
524,11.8,73,3
525,10.3,81,3
526,8.8,85,5
527,8.8,87,2
528,8.2,90,3
529,7.7,88,3
530,7.3,93,6
531,6.7,93,3
532,6.2,94,6
533,6.5,94,3
534,5.6,93,5
535,7.7,93,1
536,10.6,82,4
537,13.9,67,2
538,16.4,56,3
539,16.6,50,1
540,17.6,50,2
541,19.3,46,6
542,19.7,51,12
543,19,55,16
544,18.4,56,14
